,power,imported_cases_per_step,scale_factor,case_count_n,best_action_r
0,1.0,0.0,100.0,0.0,0.1
1,1.0,0.0,100.0,1.0,1.1
2,1.0,0.0,100.0,2.0,1.0
3,1.0,0.0,100.0,3.0,0.9
4,1.0,0.0,100.0,4.0,0.9
5,1.0,0.0,100.0,5.0,0.8
6,1.0,0.0,100.0,6.0,0.8
7,1.0,0.0,100.0,7.0,0.8
8,1.0,0.0,100.0,8.0,0.8
9,1.0,0.0,100.0,9.0,0.8
10,1.0,0.0,100.0,10.0,0.7
11,1.0,0.0,100.0,11.0,0.7
12,1.0,0.0,100.0,12.0,0.7
13,1.0,0.0,100.0,13.0,0.7
14,1.0,0.0,100.0,14.0,0.7
15,1.0,0.0,100.0,15.0,0.7
16,1.0,0.0,100.0,16.0,0.7
17,1.0,0.0,100.0,17.0,0.7
18,1.0,0.0,100.0,18.0,0.7
19,1.0,0.0,100.0,19.0,0.7
20,1.0,0.0,100.0,20.0,0.7
21,1.0,0.0,100.0,21.0,0.7
22,1.0,0.0,100.0,22.0,0.7
23,1.0,0.0,100.0,23.0,0.7
24,1.0,0.0,100.0,24.0,0.7
25,1.0,0.0,100.0,25.0,0.7
26,1.0,0.0,100.0,26.0,0.7
27,1.0,0.0,100.0,27.0,0.7
28,1.0,0.0,100.0,28.0,0.7
29,1.0,0.0,100.0,29.0,0.6
30,1.0,0.0,100.0,30.0,0.6
31,1.0,0.0,100.0,31.0,0.6
32,1.0,0.0,100.0,32.0,0.6
33,1.0,0.0,100.0,33.0,0.6
34,1.0,0.0,100.0,34.0,0.6
35,1.0,0.0,100.0,35.0,0.6
36,1.0,0.0,100.0,36.0,0.6
37,1.0,0.0,100.0,37.0,0.6
38,1.0,0.0,100.0,38.0,0.6
39,1.0,0.0,100.0,39.0,0.6
40,1.0,0.0,100.0,40.0,0.6
41,1.0,0.0,100.0,41.0,0.6
42,1.0,0.0,100.0,42.0,0.6
43,1.0,0.0,100.0,43.0,0.6
44,1.0,0.0,100.0,44.0,0.6
45,1.0,0.0,100.0,45.0,0.6
46,1.0,0.0,100.0,46.0,0.6
47,1.0,0.0,100.0,47.0,0.6
48,1.0,0.0,100.0,48.0,0.6
49,1.0,0.0,100.0,49.0,0.6
50,1.0,0.0,100.0,50.0,0.6
