Country_Region,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2
Albania,"311,323.98","359,026.48","325,848.11","353,854.07","315,137.51","370,523.71","348,624.36","361,019.05","318,751.16","383,681.15","360,196.42","371,677.79","332,995.42","385,337.80","366,016.82","388,129.09","351,316.69","410,173.12","385,208.04","403,947.64","374,717.67","431,961.66","408,940.88","420,094.42","384,734.56","446,499.15","426,243.12","420,953.68","372,419.46",...
Argentina,"722,245.21","846,952.73","859,136.64","919,973.91","979,412.22","1,175,657.38","1,171,375.78","1,252,641.05","1,273,173.44","1,487,869.71","1,555,432.69","1,638,035.06","1,751,661.26","2,103,639.12","2,131,907.21","2,240,951.97","2,310,219.43","2,639,552.08","2,779,105.58","2,931,351.41","3,059,794.12","3,508,513.65","3,779,530.91","4,194,883.47","4,353,028.26","5,227,421.29","5,571,813.82","6,294,986.50","6,338,081.20",...
Armenia,"784,166.20","978,205.10","1,363,072.30","1,430,194.60","814,938.40","1,030,592.90","1,443,501.10","1,539,593.90","879,565.70","1,105,248.00","1,523,902.70","1,534,916.80","893,634.20","1,132,260.60","1,525,628.40","1,515,770.30","971,041.00","1,212,700.80","1,587,405.40","1,793,346.10","1,115,563.90","1,362,703.90","1,687,018.40","1,851,749.00","1,245,326.60","1,489,641.70","1,835,351.00","1,998,711.50","1,267,150.80",...
Australia,"369,422.00","390,707.00","392,506.00","415,620.00","386,766.00","403,637.00","402,050.00","421,518.00","392,269.00","408,765.00","411,315.00","428,085.00","398,628.00","422,686.00","424,755.00","457,419.00","430,989.00","450,463.00","453,095.00","473,972.00","448,304.00","474,510.00","476,946.00","500,448.00","471,065.00","499,996.00","503,233.00","520,580.00",...,...
Austria,"77,522.78","79,823.97","81,859.46","84,704.00","79,535.22","82,248.55","84,017.54","87,344.76","81,806.64","84,854.18","87,238.71","90,369.71","85,749.70","88,018.81","89,865.03","93,666.17","89,024.39","91,359.29","93,252.62","96,659.46","93,550.57","94,901.84","96,382.53","100,877.01","97,133.28","98,334.23","99,690.64","103,475.41","95,807.60","86,768.34"
Azerbaijan,"12,917.50","13,919.20","15,466.00","15,879.30","13,143.10","15,317.40","15,886.90","14,666.70","11,604.30","14,170.40","14,096.00","14,509.30","12,510.00","15,161.60","15,970.50","16,751.50",...,...,...,...,...,...,...,...,...,...,...,...,...,...
Bahrain,"3,013.37","2,972.20","3,102.76","3,146.50","3,047.04","3,172.77","3,236.68","3,097.29","2,860.83","3,002.93","2,962.79","2,876.76","2,852.36","2,998.27","3,066.98","3,061.15",...,...,...,...,...,...,...,...,...,...,...,...,...,...
Belarus,"13,701.36","16,372.03","18,573.68","18,421.78","16,670.21","19,125.68","22,635.56","22,147.82","19,821.31","21,597.59","24,524.41","23,966.50","21,121.70","23,052.50","25,720.60","25,054.20","22,652.40","25,341.20","28,569.20","29,185.40","26,766.10","29,341.80","33,127.30","33,084.50","29,077.20","31,688.00","36,170.10","35,016.40",...,...
Belgium,"94,778.00","99,134.00","95,256.00","103,712.00","97,159.00","100,995.00","98,215.00","106,635.00","100,109.00","104,882.00","101,419.00","110,292.00","102,346.00","108,946.00","104,775.00","114,164.00","107,411.00","112,629.00","107,836.00","118,081.00","110,159.00","115,940.00","110,936.00","122,496.00","113,551.00","119,225.00","114,424.00","125,885.00","111,819.00",...
Bolivia,"49,829.50","52,449.20","53,503.67","56,073.67","53,960.57","56,635.19","57,868.43","59,539.47","55,975.75","56,814.28","56,306.19","58,935.15","55,360.46","56,563.70","59,641.19","62,967.83","61,026.42","61,794.11","66,836.44","69,527.74","66,707.98","66,902.39","69,456.04",...,...,...,...,...,...,...
