"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.86544,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014143,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.31163,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281702,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.333495,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.317182,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.167464,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.452418,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.61173,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.554555,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.520939,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.305863,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.191732,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.635915,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-2.827248,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",3.21158,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-0.955932,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",4.810815,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-7.012425,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.587147,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.214108,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.658128,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.056563,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.511654,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.000191,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.187179,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-20.374743,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q3",1.081909,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.344608,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.99195,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.903976,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",1.179243,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.855226,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-3.690713,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.528436,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.832749,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.325038,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.013473,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.228474,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.563517,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.992474,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.399995,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.501787,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.559687,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.56845,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.380312,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.404756,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.410156,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.208875,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-18.484123,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.812061,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.573449,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.702699,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.413354,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.040624,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.798598,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.621603,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.817224,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.226981,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.272902,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.639291,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.363194,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.43141,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.173998,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.835967,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-9.8,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.694015,
"NOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.223036,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.05109,
"NOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.221238,
